paper	seq	score	words	doctype	stem
2022年公务员多省联考《申论》题（四川县乡卷）（网友回忆版）.pdf	1	10	200		一、请根据“给定资料1”，概括小陈的跨界者团队在助力向前村发展方面采取的措施。（10 分） 要求：全面，准确，有条理。不超过200字。
2022年公务员多省联考《申论》题（四川县乡卷）（网友回忆版）.pdf	2	25	400	调研报告	二、假如你是调研组成员，请根据“给定资料2”，拟写调研报告的“问题”和“建议”部分。（25 分） 要求：问题归纳全面、准确；建议切实可行，针对性强，不超过400字。
2022年公务员多省联考《申论》题（四川县乡卷）（网友回忆版）.pdf	3	25	400	简报	三、假如你是S县委组织部的工作人员，请根据“给定资料3”撰写一篇S县开办乡村夜校有关情况的简报，供 领导参阅。（25 分） 要求：内容完整，逻辑清晰，行文简洁，不超过400字。
2022年公务员多省联考《申论》题（四川县乡卷）（网友回忆版）.pdf	4	40	1000		四、“给定资料4”中提到，“数字乡村建设为乡村振兴和农业农村现代化注入全新动能。遇见数字与网络的乡 村，打开了一扇与现代化对话的门”。请根据对这段话的理解，联系实际，自选角度，自拟题目，写一篇议 论文。（40 分） 要求：(1)观点明确，见解深刻；(2)思路清晰，结构完整；(3)语言流畅，书写工整；(4)字数800-1000字。 1000
2022年公务员多省联考《申论》题（四川省市卷）（网友回忆版）.pdf	1	15	300		一、请根据“给定资料1”，谈谈为什么说冰冷的雪给L市带来了火热的发展。（15 分） 要求：全面、准确、逻辑清晰，不超过300字。
2022年公务员多省联考《申论》题（四川省市卷）（网友回忆版）.pdf	2	15	300		二、请根据“给定资料2”，概述Q市激励企业技改升级、促进经济快速发展的密码。（15 分） 要求：全面、准确、有条理，不超过300字。
2022年公务员多省联考《申论》题（四川省市卷）（网友回忆版）.pdf	3	30	400	短评	三、请根据给定资料3，自拟题目，为D省日报撰写一篇关于C市诗城公园建设的短评。（30 分） 要求：观点鲜明，简明扼要，语言生动。不超过400字。
2022年公务员多省联考《申论》题（四川省市卷）（网友回忆版）.pdf	4	40	1000		四、资料5中横线部分“一座城市就像一个生命共同体，生活在其间的每个个体，就像这个生命体的细胞，这 些细胞既给生命体提供支撑与动力，又从生命体中汲取养分成长。”根据对这句话的理解，结合给定资料1- 5，联系实际，自选角度，自拟题目，写一篇议论文。（40 分） 要求：(1)题意明确，见解深刻；(2)思路清晰，结构完整；(3)语言流畅，书写工整；(4)800-1000字。 1000
2022年公务员多省联考《申论》题（四川行政执法卷）（网友回忆版）.pdf	1	20	300		一、请根据“给定资料1”，概括B市在让儿童安全座椅“叫好又叫座”方面做了哪些努力。（20 分） 要求：全面、准确、有条理。不超过300字。
2022年公务员多省联考《申论》题（四川行政执法卷）（网友回忆版）.pdf	2	20	300	编者按	二、M省日报准备根据“给定资料2”中先进人物、先进集体的事迹，刊发一篇专题通讯，请你为该通讯撰写 一则“编者按”。（20 分） 要求：全面、准确、简明扼要。不超过300字。
2022年公务员多省联考《申论》题（四川行政执法卷）（网友回忆版）.pdf	3	25	400		三、假如你是G市政府办工作人员，请根据“给定资料3”，就做好“小饭桌”管理工作提出建议，供领导参阅。 （25 分） 要求：内容全面、条理清晰，针对性强，切实可行。不超过400字。
2022年公务员多省联考《申论》题（四川行政执法卷）（网友回忆版）.pdf	4	35	800	交流材料	四、A市要召开打通基层法律服务“最后一公里”座谈会，假如你是花湖区政府办工作人员，请根据“给定资料 4”，撰写一篇经验交流材料。（35 分） 要求：内容全面，准确简明，条理清晰。不超过800字。
2022年四川省公考《申论》题（下半年行政执法卷）.pdf	1	15	200		一、请根据“给定资料1”，谈谈罗剑为什么能得到大家的好评。（15 分） 要求：分析全面、深刻，条理清晰，不超过200字。
2022年四川省公考《申论》题（下半年行政执法卷）.pdf	2	20	300		二、请根据“给定资料2”，概括H市提升行政执法管理服务水平的措施。（20 分） 要求：全面、准确、有条理，不超过300字。
2022年四川省公考《申论》题（下半年行政执法卷）.pdf	3	25	500	发言稿	三、Q市拟召开“把脉基层治理现代化转型痛点”研讨会，宁川区社会矛盾纠纷联合调处中心将在大会交流发 言。请根据“给定资料3”，撰写一份发言稿。（25 分） 要求：(1)内容全面，条理清晰；(2)简明扼要，格式规范；(3)不超过500字。
2022年四川省公考《申论》题（下半年行政执法卷）.pdf	4	40	1000		四、假如你参加了L市政法系统开展的“诵读红色家书，传承红色基因”主题活动，请根据“给定资料4”，联系 实际，自选角度，自拟题目，写一篇心得体会。（40 分） 要求：(1)观点明确，认识深刻；(2)结构完整，思路清晰；(3)语言流畅，字数800-1000字。 1000
2022年国家公考《申论》题（副省级）.pdf	1	10	200	案例	一、根据“给定资料1”，请你谈谈B公司的案例为企业科技创新提供了哪些启示。（10 分） 要求：分析全面，条理清晰，不超过200字。
2022年国家公考《申论》题（副省级）.pdf	2	15	300		二、根据“给定资料2”，请你谈谈G省在推进粮食产业发展中遇到了哪些问题，并逐一说明这些问题都是如 何解决的。（15 分） 要求：(1)提炼准确，归纳合理；(2)层次分明，分条表述；(3)不超过300字。为进一步开发乡村旅游产业，临诗村 所在的向江县计划举办“畅游美丽渔村，感受渔家文化”临诗村专场推介会。
2022年国家公考《申论》题（副省级）.pdf	3	20	500	宣传材料	三、假如你是该县文化旅游局工作人员，请你草拟一份宣传材料，向参会旅游企业和游客推介临诗特色乡 村旅游。（20 分） 要求：紧扣资料，内容全面，条理清晰，语言生动，不超过500字。
2022年国家公考《申论》题（副省级）.pdf	4	20	400		四、根据“给定资料4”，请你谈谈为什么说“未来学校”是站在更高的教育境界上来思考学校发展的，是从哪 些方面体现的。（20 分） 要求：全面、准确、有条理，不超过400字。
2022年国家公考《申论》题（副省级）.pdf	5	35	1200		五、“给定资料5”中说“今天的思维和播种，决定了我们未来的收获”，请结合对这句话的理解，参考给定资 料，联系实际，自选角度，自拟题目，写一篇文章。（35 分） 要求：(1)观点明确，见解深刻；(2)参考给定资料，但不拘泥于给定资料；(3)思路清晰，语言流畅；(4)字数1000- 1200字。 1000 1100 1200
2022年国家公考《申论》题（地市级）（网友回忆版）.pdf	1	15	350	案例	一、“给定材料1”呈现了交通旅游融合发展的几个案例，请你谈谈这些案例各自体现出了哪些亮点。（15 分） 要求：全面、准确，有条理。不超过350字。
2022年国家公考《申论》题（地市级）（网友回忆版）.pdf	2	20	450		二、请你根据“给定资料2”调研组的调查走访情况，梳理出北溪县在农村公路养护管理工作中存在的主要问 题，并提出解决问题的建议。（20 分） 要求：(1)问题梳理全面、准确、有条理；(2)所提建议与问题相对应，具体明确、切实可行；(3)不超过450字。
2022年国家公考《申论》题（地市级）（网友回忆版）.pdf	3	15	250	发言稿	三、F市教育局准备根据“给定资料3”中任校长的发言稿编一期简报，推广第三中学“五育”融合育人的做法。 请你为该简报撰写一则“编者按”。（15 分） 要求：全面、准确、简明扼要。不超过250字。
2022年国家公考《申论》题（地市级）（网友回忆版）.pdf	4	15	350		四、“给定资料4”中M公司的黄总对公司的发展前景充满信心，你认为他为什么有这样的信心？（15 分） 要求：分析全面，条理清晰。不超过350字。万物在融合中发展变化，融合不是简单嫁接，而是要实现融和与融 活。
2022年国家公考《申论》题（地市级）（网友回忆版）.pdf	5	35	1200		五、请你以“融和·融活”为话题，参考给定资料，联系实际，自选角度，自拟题目，写一篇文章。（35 分） 要求：(1)观点明确，见解深刻；(2)参考给定资料，但不拘泥于给定资料；(3)思路清晰，语言流畅；(4)字数 1000~1200字。 1000 1100 1200
2022年国家公考《申论》题（行政执法卷）（网友回忆版）.pdf	1	15	250		一、“给定资料1”反映了N市积极落实惠企政策的有关情况，请简述其主要做法及成效。（15 分） 要求：全面、准确、有条理。不超过250字。
2022年国家公考《申论》题（行政执法卷）（网友回忆版）.pdf	2	15	300		二、根据“给定资料2”，谈谈你对“现在撤掉的是‘眼中的柜台’，但我们更要在撤掉‘心中的柜台’上下功夫”这 句话的理解。（15 分） 要求：分析全面，条理清晰。不超过300字。
2022年国家公考《申论》题（行政执法卷）（网友回忆版）.pdf	3	20	500		三、J市税务局积极优化税收服务，为群众办实事，采取了多项举措，效果良好，请根据“给定资料3”，就J 市税务局如何进一步强化举措、巩固成果，形成长效机制，撰写一份工作建议。（20 分） 要求：(1)紧扣资料，内容全面；(2)建议具有针对性、可行性；(3)准确简明，条理清晰；(4)不超过500字。有关部 门拟召开一场以“严执法，优服务，促发展”为主题的经验交流会。
2022年国家公考《申论》题（行政执法卷）（网友回忆版）.pdf	4	20	500	交流材料	四、请根据“给定资料4”，撰写一份关于L海关的工作经验交流材料提纲。（20 分） 要求：(1)紧扣资料，内容全面；(2)准确简明，条理清晰；(3)不超过500字。反食品浪费法实施后，G市市场监管 局开出的首张《责令改正通知书》引发了社会热议。
2022年国家公考《申论》题（行政执法卷）（网友回忆版）.pdf	5	30	1000	公开信	五、请根据“给定资料5”，以G市市场监管局的名义撰写一封公开信，回应社会关切，正确引导舆论，营造 良好的执法环境。（30 分） 要求：(1)观点鲜明，内容全面；(2)逻辑清晰，用语恰当；(3)字数800-1000字。 1000
2022年山东省公考《申论》题（A类）（网友回忆版）.pdf	1	20	300		一、请根据给定资料2，概括X县根治“生态伤疤”的经验。（20 分） 要求：准确、全面、有条理，不超过300字。
2022年山东省公考《申论》题（A类）（网友回忆版）.pdf	2	30	600	方案	二、假如你是Z市政府研究室工作人员，请根据给定资料3，起草一份治理城市交通拥堵的实施方案提纲。 （30 分） 要求：结构完整，条理清晰，措施得当，要素全面，不超过600字。
2022年山东省公考《申论》题（A类）（网友回忆版）.pdf	3	50	1000		三、请结合全部给定资料，以“大凡治事，必需通观全局”为主题，自拟题目，写一篇文章。（50 分） 要求：(1)观点明确，见解深刻；(2)参考“给定资料”，但不拘泥于“给定资料”；(3)逻辑清晰，语言流畅；(4)1000字 左右。 1000
2022年山东省公考《申论》题（B类）（网友回忆版）.pdf	1	20	300	总结	一、请根据给定资料1，总结F市整治“群众最不满意的10件事”的基本经验。（20 分） 要求：全面、准确、有条理，不超过300字。
2022年山东省公考《申论》题（B类）（网友回忆版）.pdf	2	30	600	方案	二、假如你是A市非煤矿山安全整治工作专班成员，请根据给定资料3，草拟一份整改方案提纲。（30 分） 要求：结构完整，条理清晰，措施得当，要素全面，不超过600字。
2022年山东省公考《申论》题（B类）（网友回忆版）.pdf	3	50	1000		三、请结合全部给定资料，以“把准脉，开准方”为主题，自拟题目，撰写一篇文章。（50 分） 要求：(1)观点明确，见解深刻；(2)参考“给定资料”，但不拘泥于“给定资料”；(3)逻辑清晰，语言流畅；(4)1000字 左右。 1000
2023年公务员多省联考《申论》题（四川上半年行政执法卷）（网友回忆版）.pdf	1	25	400		一、根据“给定资料1”，概括Z省在融合型大社区治理过程中遇到的新问题以及运用的新解法。（25 分） 要求：全面、准确、有条理。不超过400字。
2023年公务员多省联考《申论》题（四川上半年行政执法卷）（网友回忆版）.pdf	2	20	300		二、假如你是N市市场监管局工作人员，请根据“给定资料2”，对座谈会上反映的问题提出解决的初步建 议，供领导参考。（20 分） 要求：(1)全面、准确、有条理；(2)有针对性，合理可行；(3)不超过300字。
2023年公务员多省联考《申论》题（四川上半年行政执法卷）（网友回忆版）.pdf	3	15	350	交流材料	三、“给定资料3”中，海港街道有12个小区获评“五星级平安小区”，请结合材料里该街道管理的成功做法， 拟写一份经验交流材料。（15 分） 要求：(1)内容全面；(2)逻辑完整，条理清楚；(3)不超过350字。
2023年公务员多省联考《申论》题（四川上半年行政执法卷）（网友回忆版）.pdf	4	40	1000		四、根据“给定资料4”，以“面子、里子”为话题，联系实际，自选角度，自拟题目，写一篇文章。（40 分） 要求：(1)观点明确，见解深刻。(2)参考给定资料，但不拘泥于给定资料。(3)思路清晰，语言流畅。(4)字数800- 1000字。 1000
