nr	paper	seq	score	words	kind	doctype	family	form	note	stem
2	2022年公务员多省联考《申论》题（四川县乡卷）（网友回忆版）.pdf	1	10	200	小题（概括/分析/对策）					一、请根据“给定资料1”，概括小陈的跨界者团队在助力向前村发展方面采取的措施。（10 分） 要求：全面，准确，有条理。不超过200字。
3	2022年公务员多省联考《申论》题（四川县乡卷）（网友回忆版）.pdf	2	25	400	贯彻执行	调研报告	调研报告	part	只写「问题」和「建议」两个部件	二、假如你是调研组成员，请根据“给定资料2”，拟写调研报告的“问题”和“建议”部分。（25 分） 要求：问题归纳全面、准确；建议切实可行，针对性强，不超过400字。
4	2022年公务员多省联考《申论》题（四川县乡卷）（网友回忆版）.pdf	3	25	400	贯彻执行	简报	简报	full	供领导参阅	三、假如你是S县委组织部的工作人员，请根据“给定资料3”撰写一篇S县开办乡村夜校有关情况的简报，供 领导参阅。（25 分） 要求：内容完整，逻辑清晰，行文简洁，不超过400字。
5	2022年公务员多省联考《申论》题（四川县乡卷）（网友回忆版）.pdf	4	40	1000	文章论述					四、“给定资料4”中提到，“数字乡村建设为乡村振兴和农业农村现代化注入全新动能。遇见数字与网络的乡 村，打开了一扇与现代化对话的门”。请根据对这段话的理解，联系实际，自选角度，自拟题目，写一篇议 论文。（40 分） 要求：(1)观点明确，见解深刻；(2)思路清晰，结构完整；(3)语言流畅，书写工整；(4)字数800-1000字。 1000
6	2022年公务员多省联考《申论》题（四川省市卷）（网友回忆版）.pdf	1	15	300	小题（概括/分析/对策）					一、请根据“给定资料1”，谈谈为什么说冰冷的雪给L市带来了火热的发展。（15 分） 要求：全面、准确、逻辑清晰，不超过300字。
7	2022年公务员多省联考《申论》题（四川省市卷）（网友回忆版）.pdf	2	15	300	小题（概括/分析/对策）					二、请根据“给定资料2”，概述Q市激励企业技改升级、促进经济快速发展的密码。（15 分） 要求：全面、准确、有条理，不超过300字。
8	2022年公务员多省联考《申论》题（四川省市卷）（网友回忆版）.pdf	3	30	400	贯彻执行	短评	短评	full	为省日报撰写，自拟题目	三、请根据给定资料3，自拟题目，为D省日报撰写一篇关于C市诗城公园建设的短评。（30 分） 要求：观点鲜明，简明扼要，语言生动。不超过400字。
9	2022年公务员多省联考《申论》题（四川省市卷）（网友回忆版）.pdf	4	40	1000	文章论述					四、资料5中横线部分“一座城市就像一个生命共同体，生活在其间的每个个体，就像这个生命体的细胞，这 些细胞既给生命体提供支撑与动力，又从生命体中汲取养分成长。”根据对这句话的理解，结合给定资料1- 5，联系实际，自选角度，自拟题目，写一篇议论文。（40 分） 要求：(1)题意明确，见解深刻；(2)思路清晰，结构完整；(3)语言流畅，书写工整；(4)800-1000字。 1000
10	2022年公务员多省联考《申论》题（四川行政执法卷）（网友回忆版）.pdf	1	20	300	小题（概括/分析/对策）					一、请根据“给定资料1”，概括B市在让儿童安全座椅“叫好又叫座”方面做了哪些努力。（20 分） 要求：全面、准确、有条理。不超过300字。
11	2022年公务员多省联考《申论》题（四川行政执法卷）（网友回忆版）.pdf	2	20	300	贯彻执行	编者按	编者按	full	为专题通讯写	二、M省日报准备根据“给定资料2”中先进人物、先进集体的事迹，刊发一篇专题通讯，请你为该通讯撰写 一则“编者按”。（20 分） 要求：全面、准确、简明扼要。不超过300字。
12	2022年公务员多省联考《申论》题（四川行政执法卷）（网友回忆版）.pdf	3	25	400	提出对策·带身份				有身份/对象	三、假如你是G市政府办工作人员，请根据“给定资料3”，就做好“小饭桌”管理工作提出建议，供领导参阅。 （25 分） 要求：内容全面、条理清晰，针对性强，切实可行。不超过400字。
13	2022年公务员多省联考《申论》题（四川行政执法卷）（网友回忆版）.pdf	4	35	800	贯彻执行	经验交流材料	交流材料	full	座谈会经验交流	四、A市要召开打通基层法律服务“最后一公里”座谈会，假如你是花湖区政府办工作人员，请根据“给定资料 4”，撰写一篇经验交流材料。（35 分） 要求：内容全面，准确简明，条理清晰。不超过800字。
