id,folder,name,ext,year,chars,err,anchor,nq,ans_at,answer,explain,shenti,findpt,score,align,bucket
37,公考/四川公务员考试真题/四川公务员考试真题word版/四川公务员考试真题——申论06-22word版,2006年四川省公务员考试《申论》真题及参考答案.docx,.docx,2006,5621,,,0,66,1,0,0,0,0,0,B2·只有答案
39,公考/四川公务员考试真题/四川公务员考试真题word版/四川公务员考试真题——申论06-22word版,2007年四川公务员考试《申论》真题及参考答案.docx,.docx,2007,7261,,行首序号,3,74,1,0,0,0,0,1,B2·只有答案
38,公考/四川公务员考试真题/四川公务员考试真题word版/四川公务员考试真题——申论06-22word版,2008年四川公务员考试《申论》真题及参考答案.docx,.docx,2008,6068,,参考答案,5,70,1,0,0,0,0,1,B2·只有答案
40,公考/四川公务员考试真题/四川公务员考试真题word版/四川公务员考试真题——申论06-22word版,2009年四川公务员考试《申论》真题及答案.docx,.docx,2009,8543,,行首序号,3,63,1,0,0,0,0,1,B2·只有答案
42,公考/四川公务员考试真题/四川公务员考试真题word版/四川公务员考试真题——申论06-22word版,2010年四川公务员考试《申论》真题及答案.docx,.docx,2010,10010,,,0,65,1,0,0,0,0,0,B2·只有答案
41,公考/四川公务员考试真题/四川公务员考试真题word版/四川公务员考试真题——申论06-22word版,2011年424公务员联考《申论》卷及参考答案（福建、广西、四川、江苏、辽宁、天津、海南、江西、湖南、湖北、山西、黑龙江、贵州、重庆、陕西、云南、山东）.doc,.doc,2011,10496,,参考答案,4,74,1,0,0,0,1,1,B·答案+解析(无说明)
43,公考/四川公务员考试真题/四川公务员考试真题word版/四川公务员考试真题——申论06-22word版,2011年四川公务员考试《申论》（下半年卷）真题及答案.docx,.docx,2011,8799,,参考答案,3,74,1,0,0,0,0,1,B2·只有答案
44,公考/四川公务员考试真题/四川公务员考试真题word版/四川公务员考试真题——申论06-22word版,2012年421公务员联考《申论》卷及参考答案（福建、广西、四川、辽宁、海南、湖南、湖北、山西、黑龙江、重庆、陕西、云南、新疆、宁夏、青海）.doc,.doc,2012,11256,,参考答案,4,74,1,0,0,0,0,1,B2·只有答案
45,公考/四川公务员考试真题/四川公务员考试真题word版/四川公务员考试真题——申论06-22word版,2012年四川公务员考试《申论》（下半年卷）真题及答案.docx,.docx,2012,10265,,题号,3,80,1,0,0,0,0,1,B2·只有答案
46,公考/四川公务员考试真题/四川公务员考试真题word版/四川公务员考试真题——申论06-22word版,2013年413公务员联考《申论》（广西、四川、辽宁、海南、山西、内蒙古、黑龙江、贵州）卷及答案.docx,.docx,2013,9204,,参考答案,4,78,1,0,0,0,0,1,B2·只有答案
48,公考/四川公务员考试真题/四川公务员考试真题word版/四川公务员考试真题——申论06-22word版,2013年四川公务员考试《申论》（下半年卷）真题及答案.docx,.docx,2013,7674,,行首序号,6,78,1,0,0,0,0,1,B2·只有答案
47,公考/四川公务员考试真题/四川公务员考试真题word版/四川公务员考试真题——申论06-22word版,2014年四川公务员考试《申论》（下半年卷）真题及答案.docx,.docx,2014,12537,,参考答案,3,70,1,0,0,0,0,1,B2·只有答案
50,公考/四川公务员考试真题/四川公务员考试真题word版/四川公务员考试真题——申论06-22word版,2014年四川公务员考试《申论》（山西、四川卷）真题及答案.docx,.docx,2014,9631,,参考答案,4,78,1,0,0,0,0,1,B2·只有答案
